Item,Mean,Var,Mixed_Means,Mixed_Stds,Raw_Distrib,Discrete_Distrib,Sentence
94572:24,3.8,5.76,[2.00394094 6.50066977],[0.8209651337320952  0.3535804940306268],[3  7  1  6  2  1  1  6  7  4],[0.3 0.1 0.1 0.1 0.  0.2 0.2],"i think normal's about sixty or seventy."
48858:41,1.5555555555555556,0.46913580246913583,[1.         2.24995519],[0.0007071067811865475  0.30622727866876115],[1  2  2  1  3  1  1  1  2],[0.55555556 0.33333333 0.11111111 0.         0.         0. 0.        ],"well, there's, there's probably two or three different types of, of views as far as the controversy goes."
46424:21,2.7777777777777777,2.3950617283950617,[4.10205538 1.63313661],[0.8789242156828487  0.38972817967205337],[2  3  4  2  2  1  1  6  4],[0.22222222 0.33333333 0.11111111 0.22222222 0.         0.11111111 0.        ],"like you take asian countries, or, uh, the eastern countries where women are like in the foreground, uh, in the background and the men are in the foreground ,"
112417:64,2.3,2.6099999999999994,[1.28571429 4.6666664 ],[0.3194391308772018  0.33333463372792793],[4  5  1  2  5  1  1  2  1  1],[0.5 0.2 0.  0.1 0.2 0.  0. ],"my husband was saying that up north they have such nice restaurants where you can go  after a theater or after the movie."
131265:36,3.8,5.76,[6.50066977 2.00394094],[0.35358049403062686  0.8209651337320952],[2  6  1  7  1  6  3  1  7  4],[0.3 0.1 0.1 0.1 0.  0.2 0.2],"you only have  to check in with the office once or twice a week."
129768:34,3.8,4.5600000000000005,[1.49089019 5.28343144],[0.35351555923503586  0.9227447503229717],[4  5  1  7  7  5  2  1  4  2],[0.2 0.2 0.  0.2 0.2 0.  0.2],"i said if i knew beyond a doubt  or if i felt beyond a doubt  that he had done it, yeah, i guess i could convict him,"
20080:60,2.090909090909091,2.6280991735537187,[1.12499989 4.66666579],[0.2338545697193003  0.3333357721965762],[4  1  5  1  1  5  2  1  1  1  1],[0.63636364 0.09090909 0.         0.09090909 0.18181818 0. 0.        ],"currently, i think they are a little restrictive. uh, particularly for, uh, certain ethnic groups or from certain countries."
169005:87,4.3,5.01,[5.71428571 1.        ],[0.4948721644888218  0.0007071067811865475],[1  1  5  6  5  6  1  5  6  7],[0.3 0.  0.  0.  0.3 0.3 0.1],"well, it depends on whether you, whether we figure that we have that we have a defense oriented military or an aggressive, aggression oriented military."
74742:45,2.3,2.8099999999999996,[1.5 5.5],[0.3535540978595283  0.3535540978595281],[2  1  2  1  2  5  6  1  1  2],[0.4 0.4 0.  0.  0.1 0.1 0. ],"and then the states that  either don't adopt on a state wide basis or don't have as many kids, just have  to follow along and take what texas gets ."
173724:140,4.333333333333333,2.8888888888888893,[4.00027089 7.        ],[1.0608040408658255  0.0007071067811865475],[5  4  5  3  1  3  7  6  5],[0.11111111 0.         0.22222222 0.11111111 0.33333333 0.11111111 0.11111111],"and by definition, for some of us, at least, the public good includes having an educated populace and then idea that, uh, you can make a sound judgment with respect to small votes in the, at the local level or bigger votes at the national level."
91686:57,3.0,3.0,[2.26192068 5.99354003],[0.6005895041599663  0.7317285390414857],[7  1  1  3  3  2  3  2  3  5],[0.2 0.2 0.4 0.  0.1 0.  0.1],"when if, if i have long periods of time, like christmas vacation, or, you know, when i know i'm not going  to be doing anything for a while , um,"
54841:46,4.1,2.49,[3.77789945 7.        ],[0.9297103974467888  0.0007071067811865475],[7  5  1  4  5  2  4  5  4  4],[0.1 0.1 0.  0.4 0.3 0.  0.1],"do you go by the ads  when you look at them , or the reviews."
31336:20,3.7,3.0100000000000002,[6.00775572 2.76571878],[0.6134364428110178  0.668924040226821],[3  3  5  6  2  4  3  1  3  7],[0.1 0.1 0.4 0.1 0.1 0.1 0.1],"can they convey the data verbally or in writing."
68507:73,5.111111111111111,5.654320987654321,[6.28571428 1.        ],[0.7284317194757851  0.0007071067811865475],[6  7  6  7  4  1  1  7  7],[0.22222222 0.         0.         0.11111111 0.         0.22222222 0.44444444],"well wh-, do you think that, uh, consumer goods, goods are generally getting better, or worse in quality."
93019:124,4.181818181818182,5.78512396694215,[1.24827874 5.85188937],[0.30548111129874633  0.8012490760134381],[5  5  7  1  1  6  7  1  2  4  7],[0.27272727 0.09090909 0.         0.09090909 0.18181818 0.09090909 0.27272727],"and i, and that concerned me, that people were using it as a way to get rid  of things they just didn't want  to set  at the curb or take to the dump ,"
31526:59,3.1666666666666665,4.972222222222222,[1.42681442 5.58249995],[0.3497527917193453  0.8651997642383944],[2  1  7  1  4  2  5  2  1  5  1  7],[0.33333333 0.25       0.         0.08333333 0.16666667 0. 0.16666667],"i mean, you don't know whether the person sitting next to you anywhere is on drugs or not,"
173510:113,2.125,2.859375,[1.16666667 5.        ],[0.26352408702895536  0.0007071067811865475],[1  1  1  1  1  5  5  2],[0.625 0.125 0.    0.    0.25  0.    0.   ],"well, it seems like, well it, it seems as if in the past typically there have been a lot of cases of people being wrongly tried  or wrongly punished ,"
48899:163,3.888888888888889,6.098765432098765,[6.49963021 1.80027787],[0.6131160912889252  0.529735376615797],[7  2  1  2  3  7  5  1  7],[0.22222222 0.22222222 0.11111111 0.         0.11111111 0. 0.33333333],"you know, that's, that's no kind of deterrent because we, we've got literally hundreds of people on death row, and, and many of them who  have been there  for literally for ten or fifteen years on death row,"
173464:69,4.6,3.6399999999999997,[7.         3.57150769],[0.0007071067811865475  0.9147958876586956],[5  4  7  3  7  1  3  4  5  7],[0.1 0.  0.2 0.2 0.2 0.  0.3],"well i think that currently the way the law stands  isn't so much that the laws are enforceable or not,"
76507:42,2.7,1.81,[2.12500418 5.        ],[0.5519905448319418  0.0007071067811865475],[2  3  1  2  1  2  5  3  3  5],[0.2 0.3 0.3 0.  0.2 0.  0. ],"i'm not sure if it's more a problem with american families or a problem with the school system."
34104:22,5.2,4.160000000000001,[2.35425815 6.42940915],[0.901419184702867  0.35006286312085255],[6  2  7  6  6  6  4  1  7  7],[0.1 0.1 0.  0.1 0.  0.4 0.3],"you can make it either tight or as loose as loose can get."
122984:94,2.6153846153846154,4.0828402366863905,[7.         1.81818182],[0.0007071067811865475  0.5891586696970288],[2  7  1  3  1  2  2  1  3  3  1  1  7],[0.38461538 0.23076923 0.23076923 0.         0.         0. 0.15384615],"well, i know if they make the advances that they have been making , that, uh, maybe age will no longer, age or even physical, uh, abilities may not be, uh, a barrier anymore."
126911:45,3.7,4.41,[5.33323413 1.24996657],[0.527195784906481  0.3061733964112228],[4  1  1  2  5  1  6  6  6  5],[0.3 0.1 0.  0.1 0.2 0.3 0. ],"now, that's one i have watched , oh, six or eight times."
132615:33,4.454545454545454,5.338842975206611,[5.74999967 1.        ],[0.7705525511771748  0.0007071067811865475],[5  1  5  1  1  7  5  6  7  4  7],[0.27272727 0.         0.         0.09090909 0.27272727 0.09090909 0.27272727],"now, i don't know if that's true or not,"
49825:209,3.8,4.16,[2.33337239 6.        ],[0.8819532876230988  0.0007071067811865475],[1  6  2  4  1  4  6  2  6  6],[0.2 0.2 0.  0.2 0.  0.4 0. ],"but i think, uh, actually, uh, in, in  trying  to follow, uh, you know the cowboys over the years i think, uh, uh, they used  to have a, um, a philosophy for, well i don't know, probably the last twenty-five years except for about the last about five or six years uh,"
59327:20,2.1,4.090000000000001,[1.12489323 5.99804177],[0.23376902217388393  0.7096996529728901],[2  1  1  1  7  1  1  1  1  5],[0.7 0.1 0.  0.  0.1 0.  0.1],"because if you have two or three kids, by the, e-, way the inflation's going  i think a woman's always going  to have  to work"
148422:49,3.5454545454545454,7.15702479338843,[1.16666649 6.39999888],[0.2635239748716387  0.5656879803383127],[5  1  6  1  7  2  1  7  1  7  1],[0.45454545 0.09090909 0.         0.         0.09090909 0.09090909 0.27272727],"most, most likely i would be listen to, uh, jazz or classical music."
20140:22,3.2,4.16,[2.01114166 6.00586706],[0.6665412464872705  0.579823446007327],[1  3  1  3  1  7  2  3  6  5],[0.3 0.1 0.3 0.  0.1 0.1 0.1],"and i haven't taken the time or effort to learn what they are ."
146215:108,3.6,6.04,[1.66666653 6.49999712],[0.3333341189685072  0.6123779409844702],[7  7  2  2  2  2  1  1  7  5],[0.2 0.4 0.  0.  0.1 0.  0.3],"but when i washed them , although i took the precaution of  turning them inside out i really didn't do anything else. and truly, everything  fell off, or most of it."
81053:30,2.0,1.5555555555555556,[1.         2.79953058],[0.0007071067811865475  0.8247699859938294],[2  3  1  2  2  1  1  1  5],[0.44444444 0.33333333 0.11111111 0.         0.11111111 0. 0.        ],"it's not as slanted as the new york times or as biased perhaps as the local paper."
